"","x1","y1","x2","y2","SDI1","SDI2","SDI3","SDI4","SDI5","SDI6","SDI7","SDI8","ID"
"172",420,60,440,80,302.927506220759,316.509722877983,405.524673287321,484.682252959164,544.054003085965,629.597648738753,599.113661781934,615.456115854555,172
"173",440,60,460,80,684.321927021943,706.888171623461,759.253515900233,803.801475027209,810.763232299008,874.215513263333,900.984554225357,919.140871555629,173
"174",460,60,480,80,501.464653529169,428.246958587298,438.275686019528,425.870190216108,415.830541937373,433.700290078932,457.638619420688,488.661943967941,174
"175",480,60,500,80,852.919922716014,871.050815861233,494.995295422002,505.227558970609,386.626656854602,380.292904681335,411.749056130569,448.191954613696,175
"176",500,60,520,80,351.487936852499,366.883538521872,417.764031826289,404.414962005076,437.950345251598,450.382675202434,408.040664880911,435.08642536996,176
"177",520,60,540,80,745.573973494895,850.06118424463,876.678032920257,913.503658286027,898.296383315812,911.811463058821,966.531678641627,959.650914697623,177
"178",540,60,560,80,772.241681620888,597.813436170155,727.594807078418,705.735021577726,702.418639496698,708.364291892196,605.383969221938,532.308900067338,178
"179",560,60,580,80,830.045157717976,760.247449882018,880.413954142529,791.278868586913,807.430573854744,847.610086597051,856.033266227619,848.470035464915,179
"180",580,60,600,80,1091.11380754238,1030.28323095445,1187.53047450982,1186.81593457461,1258.84586814524,1259.7059432746,1268.78709074666,1192.43442160549,180
"181",600,60,620,80,924.852510738003,670.983417593661,726.802666410362,716.225692021643,752.302721824236,765.983672727656,797.868316940674,714.940122592937,181
"182",620,60,640,80,1093.41601172172,922.718269001832,931.469668211104,845.539975375344,919.864986153539,937.99942980298,1119.40230602769,998.450770071145,182
"183",640,60,660,80,594.361006224991,547.653734432311,571.103653343024,601.89617585324,471.342474623677,468.959899607922,490.39622327221,544.820966140388,183
"184",660,60,680,80,678.739069752078,617.743027730584,671.443558423131,645.148167916659,664.684893575993,670.922938840846,679.295434046218,569.436024647494,184
"185",680,60,700,80,656.275847144496,675.535130661417,712.236557305847,620.209126677554,591.77889320693,660.45921814584,703.06000082438,771.858734482256,185
"186",700,60,720,80,1497.57417078285,1666.81735808911,1199.58332623606,1161.69953034292,1162.64595373003,1047.47361824432,756.404462895478,821.956750668494,186
"187",720,60,740,80,425.369946641845,472.262889612683,475.966026258319,475.188040546555,506.554411964671,524.031187134168,505.084686153634,494.901261923984,187
"188",740,60,760,80,587.792102678494,384.132014509145,428.060219869218,422.92527841583,449.570542921999,453.050104462539,474.251537445208,504.081151842623,188
"189",760,60,780,80,408.476505133998,347.432528116028,341.749935462207,372.618478026276,383.938343516678,409.327650174465,412.671494716743,490.091803297251,189
"190",780,60,800,80,520.046247355207,529.16414963943,594.894338300626,634.21642416585,660.773484676584,640.523417518925,679.078583979113,777.268200983843,190
"191",800,60,820,80,1033.66229979663,983.457090275148,935.228554667746,899.665552213376,924.868457907389,919.588333837876,945.403488706488,781.396137840594,191
"192",820,60,840,80,657.745931821754,555.715388250502,484.566676362421,487.413838638514,576.236993325171,610.451089392172,593.673644280075,570.352290757899,192
"193",840,60,860,80,694.942248207204,694.119102522665,766.99823548608,540.048335258091,451.327450388046,495.205075645345,518.467635645682,567.375973966772,193
"194",860,60,880,80,622.1723500698,539.472107446915,541.489250315807,445.799968182913,479.084470551922,453.345945354329,428.256065006912,446.290564048367,194
"195",880,60,900,80,452.221680558849,415.455363296852,482.226819893643,525.133677392317,512.499576332428,437.760962178854,450.26561101362,396.976570059295,195
